report_date,noncomm_long,noncomm_short,net_long,open_interest
2015-03-24,58248,67190,-8942,166385
2015-03-31,60326,64403,-4077,170680
2015-04-07,58794,63705,-4911,171590
2015-04-14,54707,61925,-7218,166187
2015-04-21,50497,62807,-12310,158158
2015-04-28,50510,66567,-16057,154860
2015-05-05,63533,63905,-372,166837
2015-05-12,73726,65119,8607,178740
2015-05-19,73604,64212,9392,179735
2015-05-26,64961,63284,1677,172973
2015-06-02,50751,59531,-8780,160961
2015-06-09,50721,64141,-13420,171901
2015-06-16,53482,70113,-16631,182164
2015-06-23,54026,77790,-23764,185075
2015-06-30,59753,81586,-21833,166565
2015-07-07,55639,81074,-25435,167416
2015-07-14,53064,73840,-20776,162147
2015-07-21,56947,79128,-22181,166328
2015-07-28,55730,80190,-24460,164113
2015-08-04,60616,92955,-32339,181781
2015-08-11,60282,94037,-33755,195724
2015-08-18,60822,89744,-28922,191961
2015-08-25,60299,83609,-23310,167713
2015-09-01,61054,81481,-20427,159151
2015-09-08,60691,74084,-13393,159848
2015-09-15,59528,63671,-4143,155506
2015-09-22,52405,65649,-13244,153304
2015-09-29,52463,69466,-17003,152292
2015-10-06,54596,66168,-11572,154158
2015-10-13,54298,60446,-6148,157319
2015-10-20,56551,61104,-4553,163713
2015-10-27,58144,58933,-789,166489
2015-11-03,55354,67076,-11722,165916
2015-11-10,52866,80278,-27412,174496
2015-11-17,61523,90685,-29162,194391
2015-11-24,64334,97911,-33577,187353
2015-12-01,65971,100025,-34054,181753
2015-12-08,65606,99575,-33969,180525
2015-12-15,67852,100248,-32396,180050
2015-12-22,63039,93215,-30176,171305
2015-12-29,60057,90074,-30017,168364
2016-01-05,63164,94882,-31718,172493
2016-01-12,68791,110647,-41856,194338
2016-01-19,68803,112106,-43303,199973
2016-01-26,65037,101818,-36781,203598
2016-02-02,63623,99093,-35470,202356
2016-02-09,63537,90389,-26852,190339
2016-02-16,60110,87475,-27365,191975
2016-02-23,58019,81064,-23045,174429
2016-03-01,55908,80527,-24619,160638
2016-03-08,63180,66129,-2949,166904
2016-03-15,63533,64157,-624,176543
2016-03-22,62637,61850,787,179525
2016-03-29,67696,72009,-4313,187372
2016-04-05,67609,77578,-9969,193525
